"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/2020","1,595.95","1,640.05","1,664.25","1,568.15","231.59K","-1.31%"
"09/22/2020","1,617.15","1,615.00","1,660.00","1,540.00","355.74K","-0.58%"
"09/21/2020","1,626.55","1,745.05","1,751.40","1,612.00","295.11K","-6.71%"
"09/18/2020","1,743.55","1,768.00","1,783.45","1,723.00","261.52K","-0.95%"
"09/17/2020","1,760.35","1,675.00","1,790.00","1,651.00","603.59K","4.41%"
"09/16/2020","1,685.95","1,711.80","1,738.00","1,675.00","272.09K","-0.89%"
"09/15/2020","1,701.05","1,768.80","1,768.80","1,685.75","415.45K","-2.75%"
"09/14/2020","1,749.10","1,595.00","1,859.00","1,595.00","2.18M","12.49%"
"09/11/2020","1,554.85","1,543.70","1,566.30","1,535.10","127.62K","1.24%"
"09/10/2020","1,535.80","1,532.00","1,555.00","1,521.00","245.63K","0.52%"
"09/09/2020","1,527.90","1,545.75","1,585.10","1,520.00","305.44K","-1.33%"
"09/08/2020","1,548.50","1,582.00","1,590.00","1,541.45","240.46K","-2.10%"
"09/07/2020","1,581.75","1,620.00","1,635.00","1,570.00","171.38K","-1.54%"
"09/04/2020","1,606.50","1,563.00","1,633.00","1,547.20","392.24K","2.00%"
"09/03/2020","1,575.00","1,569.90","1,648.00","1,546.15","699.31K","1.35%"
"09/02/2020","1,554.00","1,552.30","1,590.00","1,535.00","616.11K","0.21%"
"09/01/2020","1,550.75","1,601.10","1,605.00","1,540.00","321.06K","-2.98%"
"08/31/2020","1,598.40","1,698.80","1,703.00","1,555.55","431.51K","-5.59%"
"08/28/2020","1,693.00","1,680.00","1,700.00","1,651.05","245.60K","1.02%"
"08/27/2020","1,675.95","1,703.00","1,706.55","1,671.00","160.32K","-1.37%"
"08/26/2020","1,699.30","1,700.00","1,723.90","1,692.50","142.96K","0.27%"
"08/25/2020","1,694.75","1,720.80","1,733.00","1,675.00","225.76K","-0.78%"
"08/24/2020","1,708.05","1,723.95","1,729.20","1,701.00","163.05K","-0.25%"
"08/21/2020","1,712.30","1,700.00","1,748.00","1,693.05","266.91K","0.56%"
"08/20/2020","1,702.70","1,698.80","1,720.00","1,688.85","214.64K","-0.17%"
"08/19/2020","1,705.60","1,654.00","1,715.15","1,646.50","495.40K","3.95%"
"08/18/2020","1,640.85","1,602.70","1,647.70","1,588.00","309.72K","3.12%"
"08/17/2020","1,591.20","1,681.35","1,681.35","1,572.70","529.50K","-4.02%"
"08/14/2020","1,657.80","1,690.00","1,705.00","1,650.00","275.20K","-1.62%"
"08/13/2020","1,685.15","1,719.90","1,729.75","1,675.25","219.81K","-1.59%"
"08/12/2020","1,712.35","1,700.00","1,738.45","1,685.00","285.92K","-0.04%"
"08/11/2020","1,713.00","1,701.20","1,749.95","1,691.00","373.43K","1.12%"
"08/10/2020","1,694.10","1,676.00","1,735.00","1,650.00","359.01K","1.35%"
"08/07/2020","1,671.60","1,695.00","1,716.40","1,660.10","417.98K","-1.07%"
"08/06/2020","1,689.70","1,756.00","1,774.80","1,680.10","533.49K","-3.42%"
"08/05/2020","1,749.45","1,827.90","1,838.95","1,740.05","836.97K","-2.76%"
"08/04/2020","1,799.05","1,661.00","1,822.00","1,650.00","1.28M","8.45%"
"08/03/2020","1,658.80","1,697.60","1,724.80","1,637.15","444.69K","-1.64%"
"07/31/2020","1,686.40","1,653.05","1,719.75","1,603.00","547.35K","2.64%"
"07/30/2020","1,642.95","1,680.00","1,723.90","1,625.00","531.60K","-1.26%"
"07/29/2020","1,663.90","1,729.70","1,792.00","1,645.75","2.01M","-2.04%"
"07/28/2020","1,698.55","1,588.00","1,729.70","1,579.65","1.35M","8.79%"
"07/27/2020","1,561.35","1,515.00","1,641.00","1,475.15","1.67M","3.77%"
"07/24/2020","1,504.60","1,456.00","1,513.80","1,445.20","432.49K","3.38%"
"07/23/2020","1,455.40","1,511.00","1,524.70","1,443.00","246.39K","-3.30%"
"07/22/2020","1,505.00","1,510.00","1,530.00","1,430.00","411.99K","0.32%"
"07/21/2020","1,500.20","1,452.00","1,525.00","1,432.00","796.02K","4.12%"
"07/20/2020","1,440.85","1,355.00","1,457.00","1,355.00","611.08K","7.12%"
