"","x"
"1330",191
"1331",95
"1332",198542
"1333",106
"1334",116
"1335",106
"1336",888794
"1337",106
"1338",261
"1339",24720
"1340",291
"1341",292
"1342",24835
"1343",74247
"1344",25000
"1345",174683
"1346",744
"1347",474290
"1348",239
"1349",53
"1350",24800
"1351",100792
"1352",297437
"1353",191
"1354",2530
"1355",1127
"1356",232911
"1357",27560
"1358",199341
"1359",261977
"1360",154444
"1361",27560
"1362",203846
"1363",54868
"1364",29317
"1365",2
"1366",256947
"1367",49612
"1368",348516
"1369",6456
"1370",1821
"1371",163320
"1372",1152
"1373",12910
"1374",3
"1375",53370
"1376",19690
"1377",112500
"1378",21853
"1379",147919
"1380",1002
"1381",578
"1382",17013
"1383",20914
"1384",48645
"1385",2164
"1386",24268
"1387",52180
"1388",145215
"1389",95113
"1390",301
"1391",14
"1392",1806
"1393",6
"1394",15917
"1395",7359
"1396",166055
"1397",102552
"1398",1339
"1399",6019
"1400",24107
"1401",95
"1402",120397
"1403",41130
"1404",2625
"1405",73764
"1406",20987
"1407",2095
"1408",3174
"1409",102920
"1410",2412
"1411",6357
"1412",741
"1413",2060
"1414",1185
"1415",152
"1416",41941
"1417",5857
"1418",20094
"1419",2388
"1420",7963
"1421",4513
"1422",1095
"1423",507922
"1424",2078
"1425",3763
"1426",57079
"1427",1189
"1428",19
"1429",28
"1430",21980
"1431",12546
"1432",12339
"1433",14274
"1434",43525
"1435",2707
"1436",5974
"1437",9893
"1438",1532
"1439",76731
"1440",211
"1441",28300
"1442",79350
"1443",9399
"1444",1354
"1445",3103
"1446",22104
"1447",1144
"1448",54070
"1449",23727
"1450",1182
"1451",2016
"1452",9582
"1453",1087
"1454",82098
"1455",26180
"1456",12524
"1457",866
"1458",1819
"1459",17151
"1460",48583
"1461",7860
"1462",29
"1463",235
"1464",561
"1465",43
"1466",15092
"1467",2058
"1468",1866
"1469",218
"1470",301
"1471",14141
"1472",3716
"1473",171
"1474",26
"1475",416
"1476",115
"1477",389
"1478",58348
"1479",81
"1480",10
"1481",95968
"1482",432
"1483",288
"1484",27750
"1485",67424
"1486",12833
"1487",3192
"1488",3
"1489",613
"1490",25449
"1491",17766
"1492",5756
"1493",95
"1494",785
"1495",2674
"1496",434
"1497",4
"1498",7
"1499",12
"1500",936
"1501",119
"1502",81458
"1503",43651
"1504",1
"1505",109
"1506",18
"1507",3199
"1508",107
"1509",420
"1510",54
"1511",54
"1512",109
"1513",70336
"1514",50178
"1515",0
"1516",2133
"1517",339
"1518",9599
"1519",24785
"1520",6072
"1521",3097
"1522",486
"1523",4504
"1524",1121
"1525",15360
"1526",24268
"1527",9829
"1528",63873
"1529",1860
"1530",15345
"1531",10303
"1532",97475
"1533",361
"1534",22455
"1535",57
"1536",104
"1537",3040
"1538",51
"1539",13916
"1540",10001
"1541",8415
"1542",53522
"1543",24916
"1544",31092
"1545",34428
"1546",3
"1547",4541
"1548",17866
"1549",142
"1550",4932
"1551",22400
"1552",3090
"1553",355
"1554",1117
"1555",92656
"1556",76409
"1557",3717
"1558",267
"1559",52900
"1560",37
"1561",70
"1562",1308
"1563",4182
"1564",4142
"1565",2167
"1566",45994
"1567",17218
"1568",4781
"1569",6237
"1570",1058
"1571",7853
"1572",827
"1573",48674
"1574",44961
"1575",61845
"1576",126
"1577",8200
"1578",58971
"1579",18757
"1580",12289
"1581",2953
"1582",71061
"1583",137623
"1584",1298
"1585",13061
"1586",5250
"1587",11045
"1588",8070
"1589",21803
"1590",18973
"1591",13109
"1592",3315
"1593",117990
"1594",23130
"1595",89664
"1596",25694
"1597",80238
"1598",628
"1599",12617
"1600",3607
"1601",14957
"1602",3272
"1603",23212
"1604",75930
"1605",34826
"1606",19540
"1607",16
"1608",39115
"1609",32601
"1610",1087
"1611",12975
"1612",16144
"1613",14060
"1614",70482
"1615",71261
"1616",105514
"1617",9923
"1618",18592
"1619",1832
"1620",31785
"1621",15771
"1622",10604
"1623",15347
"1624",8704
"1625",2028
"1626",67358
"1627",73153
"1628",49804
"1629",24
"1630",5160
"1631",312
"1632",116
"1633",282
"1634",1120
"1635",155
"1636",817
"1637",293
"1638",493
"1639",461
"1640",94
"1641",2883
"1642",427
"1643",165
"1644",3831
"1645",282
"1646",10142
"1647",12128
"1648",1632
"1649",9630
"1650",23221
"1651",6024
"1652",542
"1653",7080
"1654",3456
"1655",1323
"1656",67
